Symbol,Symbol,H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Pu
Symbol,Znum,1,3,4,5,6,7,11,12,13,14,15,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,90,92,94
H,1,,-25,2,5,-3,-18,-16,-19,-8,-19,0.5,-16,-46,60,-54,-39,-28,-34,-23,-23,-23,-6,-8,-8,-14.5,-1,-16,-45,-61,-69,-46,-28,-21,-20,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li,3,,,-5,-6,-61,-145,4,0,-4,-30,-45.5,11,-1,12,34,37,35,19,26,8,1,-5,-7,-9,-34.5,-29,13,0,8,27,51,49,8,5,-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Be,4,,,,0,-15,-39,18,-3,0,-15,-3.5,27,-14,-36,-30,-16,-7,-10,-4,-4,-4,0,4,5,-3.5,7,28,-10,-32,-43,-25,-7,-3,-3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,5,,,,,-10,-28,18,-4,0,-14,0.5,27,-22,-55,-58,-42,-31,-32,-26,-24,-24,0,4,6,-0.5,10,28,-18,-50,-71,-54,-34,-25,-24,-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,6,,,,,,-2,-45,-55,-36,-39,-4.5,-43,-89,-118,-109,-82,-61,-66,-50,-42,-39,-33,-32,-33,-29.5,-14,-44,-87,-117,-131,-102,-67,-39,-35,-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,7,,,,,,,-141,-134,-92,-81,-24.5,-152,-201,-224,-190,-143,-107,-119,-87,-75,-69,-84,-88,-95,-78.5,-59,-154,-206,-232,-233,-174,-115,-68,-61,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na,11,,,,,,,,10,13,-11,-26.5,1,1,34,68,73,71,49,62,41,32,16,6,5,-21.5,-14,2,-2,28,59,93,93,47,44,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg,12,,,,,,,,,-2,-26,-39.5,20,-6,-3,16,23,24,10,18,3,-4,-3,-4,-4,-26.5,-21,23,-4,-6,6,32,36,3,0,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al,13,,,,,,,,,,-19,-20.5,23,-20,-38,-30,-16,-10,-19,-11,-19,-22,-1,1,1,-14.5,-6,25,-18,-38,-44,-18,-5,-20,-21,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
