,Alloy,Condition,HV,Ref,Ref_sec,Keep_y_or_n,DOI,DOI_sec
0,Al0.017Cu0.328Mn0.328Ni0.328,AC,166.0,8,62.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2015.07.285
1,Al0.020Co0.196Cr0.196Fe0.196Mn0.196Ni0.196,AC,180.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
2,Al0.020Co0.196Cr0.196Fe0.196Mn0.196Ni0.196,PM,432.0,8,136.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2018.10.168
3,Al0.024Co0.244Cr0.244Fe0.244Ni0.244,AC,118.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
4,Al0.032Co0.242Cr0.161Fe0.161Ni0.242Ti0.161,HM,717.0,1,10.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2011.06.041
5,Al0.035Co0.263Cr0.175Fe0.175Ni0.263Ti0.088,HM,487.0,1,10.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2011.06.041
6,Al0.035Co0.263Cr0.176Fe0.176Ni0.263Ti0.088,HM,487.0,8,1.0,n,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.actamat.2011.06.041
7,Al0.036Cu0.321Mn0.321Ni0.321,AC,241.0,8,62.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2015.07.285
8,Al0.038Co0.192Cr0.192Fe0.192Mn0.192Ni0.192,AC,171.0,1,28.0,y,https://doi.org/10.1016/j.dib.2018.11.111,https://doi.org/10.1016/j.actamat.2013.09.037
9,Al0.038Cr0.192Cu0.192Fe0.192Ni0.385,AC,162.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
10,Al0.050Co0.317Cr0.317Fe0.317,AC,475.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
11,Al0.053Co0.211Cr0.211Fe0.263Ni0.263,AC,168.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
12,Al0.057Co0.189Cr0.189Cu0.189Fe0.189Ni0.189,AC,185.0,2,,n,https://doi.org/10.1016/j.actamat.2019.03.010,
13,Al0.057Co0.189Cr0.189Cu0.189Fe0.189Ni0.189,AC,180.0,1,32.0,y,https://doi.org/10.1016/j.dib.2018.11.111,10.3166/acsm.31.633-648
14,Al0.057Co0.189Cr0.189Fe0.189Mn0.189Ni0.189,PM,511.0,8,136.0,y,https://doi.org/10.1038/s41597-020-00768-9,10.1016/j.jallcom.2018.10.168
15,Al0.057Cr0.189Cu0.189Fe0.189Ni0.377,AC,170.0,2,,y,https://doi.org/10.1016/j.actamat.2019.03.010,
